"param_index","alpha","lambda"
1001,0.914806043496355,125.006945967648
1002,0.937075413297862,0.00233061535333966
1003,0.286139534786344,84.2673441752426
1004,0.830447626067325,1.72572894474255
1005,0.641745518893003,0.98650753728295
1006,0.519095949130133,0.00132899041636112
1007,0.736588314641267,2.1167673172595
1008,0.13466659723781,21.0821786422855
1009,0.656992290401831,0.0256358152109078
1010,0.705064784036949,75.4575641366446
1011,0.45774177624844,0.336686537582865
1012,0.719112251652405,2.45923741010189
1013,0.934672247152776,0.00799778210809851
1014,0.255428824340925,0.0145367514081656
1015,0.462292822543532,0.00985902523060727
1016,0.940014522755519,104.126353834549
1017,0.978226428385824,0.00455468811920223
1018,0.117487361654639,0.0401460576648704
1019,0.474997081561014,62.6663650145864
1020,0.560332746244967,0.0615792524473465
1021,0.904031387297437,163.299328692785
1022,0.138710167724639,0.00168675358331161
1023,0.988891728920862,0.108552902057231
1024,0.946668232558295,0.0713927759523526
1025,0.0824375580996275,0.0058760961061876
1026,0.514211784349754,0.173943382483681
1027,0.390203467104584,0.615278966069991
1028,0.905738130910322,0.00186341377378895
1029,0.446969628101215,861.271322456555
1030,0.836004259996116,287.824702820699
1031,0.737595617771149,769.513557063523
1032,0.811055141268298,0.0103763601891426
1033,0.388108282815665,0.00176598338033302
1034,0.685169729404151,0.00707353588988142
1035,0.00394833879545331,0.144748151633447
1036,0.832916080253199,1.85113613000713
1037,0.00733414688147604,429.922370434389
1038,0.207658972823992,6.54765050892438
1039,0.906601407798007,0.809403297506696
1040,0.611778643447906,0.00321252756828445
1041,0.379559240536764,477.138318216472
1042,0.435771584976465,0.119433166793038
1043,0.0374310328625143,0.163450360720097
1044,0.973539913771674,5.59049046779099
1045,0.431751248892397,23.3948083961691
1046,0.957576596643776,0.0151825947142411
1047,0.887754905503243,3.4207294443714
1048,0.639978769468144,115.996972317806
1049,0.970966610359028,1015.22279035023
1050,0.618838207330555,0.00114436658094149
1051,0.333427211269736,86.0221926740357
1052,0.346748248208314,0.0168919129707815
1053,0.39848541142419,0.00473013483363689
1054,0.784692775690928,13.5640233880325
1055,0.038936491124332,0.042962637928021
1056,0.748795386170968,88.2422445492117
1057,0.67727683018893,7.40206622630567
1058,0.171264330390841,1.47227341494091
1059,0.261087963823229,0.00145276731197885
1060,0.514412934659049,0.0523161717433422
1061,0.67560727451928,0.00159931581452879
1062,0.982817197917029,248.544276814572
1063,0.759544267551973,0.00600083397084012
1064,0.566488424083218,0.00199261924267014
1065,0.849689718568698,0.151661884150602
1066,0.18947393540293,15.0283598369955
1067,0.271286614704877,230.110439596512
1068,0.828158485237509,0.0288661777919046
1069,0.693204820388928,0.223652057993328
1070,0.240544739644974,5.28937823749128
1071,0.0429887960199267,2.44517809013522
1072,0.140479094116017,0.00173365365247779
1073,0.21638541505672,0.699729740493467
1074,0.479398564202711,506.389847184551
1075,0.197410342283547,0.0273299551036813
1076,0.719355837674811,11.8173450583153
1077,0.00788473873399198,308.396735330069
1078,0.375489964615554,0.00183708045043038
1079,0.514407708309591,0.00647251727044353
1080,0.00157055421732366,0.00392547964930696
1081,0.581604002509266,0.285802868143023
1082,0.157905208179727,675.099763913777
1083,0.359028305858374,0.151742069431516
1084,0.645631878403947,22.5965132647144
1085,0.775823362637311,16.6059798757692
1086,0.563646841561422,0.00137752288543024
1087,0.233703398611397,484.37171394856
1088,0.0899805163498968,1.59088569370563
1089,0.0856120649259537,15.2019376852901
1090,0.305218369467184,0.00182884694087611
1091,0.667426514672115,322.114228732855
1092,0.000238896580412984,0.00153972073161467
1093,0.208569956943393,46.7192373406577
1094,0.933034127345309,1.43677635744607
1095,0.925644748611376,0.0390762998020653
1096,0.734094301005825,1.07082415302627
1097,0.333071983419359,1.56906500261556
1098,0.515063329832628,0.00325619932571421
1099,0.743974646320567,317.81173702393
1100,0.619159240042791,2.42866793785752
1101,0.62624534452334,0.00221974631826691
1102,0.217157698236406,10.9625679890948
1103,0.216567310970277,5.84196435332867
1104,0.388945028651506,0.00268122572985273
1105,0.942455691983923,0.421645097000419
1106,0.962608013767749,7.11475915101856
1107,0.73985527921468,73.4856038711513
1108,0.73324590572156,0.22299131716446
1109,0.535761289997026,44.2760962063422
1110,0.00227296608500183,177.036436024483
1111,0.608937452547252,5.15603597482212
1112,0.836801559431478,0.139147190059805
1113,0.751522562699392,400.354336524099
1114,0.452731572557241,29.7452195429177
1115,0.535789993824437,0.00235731428559469
1116,0.53737669531256,0.00437673319202232
1117,0.00138084357604384,83.0298295494844
1118,0.355665953829885,58.1432076931244
1119,0.612133090151474,0.00215535425282739
1120,0.828942130552605,284.525146283996
1121,0.356721999356523,21.5971984002511
1122,0.410635125823319,265.789424755914
1123,0.573475898941979,1.64067024524404
1124,0.589678303571418,0.122494316112604
1125,0.719657292356715,101.537409838298
1126,0.394973045215011,55.9699216353247
1127,0.919203929137439,1.54561522119375
1128,0.962570293573663,47.6491790037119
1129,0.233523525530472,0.00219308726038663
1130,0.724497599992901,0.559499414429772
1131,0.903634525137022,0.00133090269036327
1132,0.603474084753543,27.8148270902945
1133,0.631507298909128,17.324498805371
1134,0.937385849654675,0.00105695773231439
1135,0.850482750684023,0.666679098874989
1136,0.579820899059996,3.79329417967184
1137,0.821403923910111,0.0500624202568265
1138,0.113718609092757,0.00209968090768242
1139,0.764507758663967,0.183962779617139
1140,0.623613457195461,1.52042812525614
1141,0.148446606704965,0.031676601865429
1142,0.0802644665818661,471.7013274178
